Cluster Index	Voxels	P	-log10(P)	Z-MAX	Z-MAX X (mm)	Z-MAX Y (mm)	Z-MAX Z (mm)	Z-COG X (mm)	Z-COG Y (mm)	Z-COG Z (mm)	COPE-MAX	COPE-MAX X (mm)	COPE-MAX Y (mm)	COPE-MAX Z (mm)	COPE-MEAN
11	863	1.77e-35	34.8	10.5	-61.1	-27	8.85	-55.6	-25.8	2.08	534	-63.4	-8.7	-4.88	116
10	718	2.85e-31	30.5	10.3	58.7	-22.8	5.68	56.4	-24.7	-1.11	444	58.7	-25.6	6.21	109
9	80	1.73e-06	5.76	4.71	-55.7	0.637	41.3	-48.5	-1.48	43.1	158	-35.6	-10.7	64.6	70.8
8	63	2.21e-05	4.66	6.47	54.9	3	44.9	53.3	0.286	46	199	58	5.79	44.5	90.8
7	62	2.57e-05	4.59	4.67	34.9	11	18.8	48	18.3	19.1	199	62	18.9	15	82.7
6	41	0.000849	3.07	4.88	-47.9	44.2	2.75	-48.1	42.3	6.93	129	-51.1	45.1	9.25	76.1
5	41	0.000849	3.07	4.54	57	-45.3	50.7	51.1	-43.9	48	214	57.1	-45.7	47.4	121
4	34	0.00309	2.51	4.3	41.7	49.9	8.38	43.1	49.5	7.66	151	44.7	56	10.7	91.3
3	27	0.0123	1.91	4.37	1.41	17.3	40.3	2.38	21.7	40.2	110	1.69	31.3	37.6	80.3
2	22	0.0352	1.45	4.32	29.5	-32	-20.9	33.6	-30.7	-19.2	182	32.4	-32	-20.8	129
1	21	0.0437	1.36	4.11	-27.9	45.5	33.9	-26.9	43.2	33.5	164	-27.9	45.5	33.9	97.3
